sale_id,date_id,customer_id,product_id,region_id,quantity,unit_price,total_amount
1,20250101,101,201,1,2,120.50,241.00
2,20250102,102,202,2,5,80.00,400.00
3,20250103,103,203,3,1,150.75,150.75
4,20250104,104,204,1,3,99.90,299.70
5,20250105,105,205,4,4,200.00,800.00
6,20250106,106,206,5,6,60.00,360.00
7,20250107,107,207,2,2,75.25,150.50
8,20250108,108,208,3,5,99.99,499.95
9,20250109,109,209,1,1,180.00,180.00
10,20250110,110,210,4,3,250.00,750.00
11,20250111,111,211,2,2,89.99,179.98
12,20250112,112,212,5,7,65.50,458.50
13,20250113,113,213,1,4,130.00,520.00
14,20250114,114,214,3,3,175.00,525.00
15,20250115,115,215,4,8,55.75,446.00
16,20250116,116,216,5,2,240.00,480.00
17,20250117,117,217,2,5,90.00,450.00
18,20250118,118,218,1,3,100.00,300.00
19,20250119,119,219,4,6,75.00,450.00
20,20250120,120,220,5,2,125.50,251.00
